source_id,label,data_item,isBasedOnUrl
1,br;ac:tse:candidatos:1994,consulta_cand_1994_AC.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
2,br;al:tse:candidatos:1994,consulta_cand_1994_AL.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
3,br;am:tse:candidatos:1994,consulta_cand_1994_AM.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
4,br;ap:tse:candidatos:1994,consulta_cand_1994_AP.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
5,br;ba:tse:candidatos:1994,consulta_cand_1994_BA.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
6,br;br:tse:candidatos:1994,consulta_cand_1994_BR.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
7,br;go:tse:candidatos:1994,consulta_cand_1994_GO.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
8,br;ma:tse:candidatos:1994,consulta_cand_1994_MA.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
9,br;ms:tse:candidatos:1994,consulta_cand_1994_MS.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
10,br;pi:tse:candidatos:1994,consulta_cand_1994_PI.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
11,br;rr:tse:candidatos:1994,consulta_cand_1994_RR.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
12,br;rs:tse:candidatos:1994,consulta_cand_1994_RS.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
13,br;sc:tse:candidatos:1994,consulta_cand_1994_SC.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
14,br;se:tse:candidatos:1994,consulta_cand_1994_SE.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
15,br;sp:tse:candidatos:1994,consulta_cand_1994_SP.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
16,br;to:tse:candidatos:1994,consulta_cand_1994_TO.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
17,br;ac:tse:candidatos:1996,consulta_cand_1996_AC.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
18,br;al:tse:candidatos:1996,consulta_cand_1996_AL.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
19,br;am:tse:candidatos:1996,consulta_cand_1996_AM.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
20,br;ap:tse:candidatos:1996,consulta_cand_1996_AP.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
21,br;ba:tse:candidatos:1996,consulta_cand_1996_BA.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
22,br;ce:tse:candidatos:1996,consulta_cand_1996_CE.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
23,br;es:tse:candidatos:1996,consulta_cand_1996_ES.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
24,br;go:tse:candidatos:1996,consulta_cand_1996_GO.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
25,br;ma:tse:candidatos:1996,consulta_cand_1996_MA.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
26,br;mg:tse:candidatos:1996,consulta_cand_1996_MG.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
27,br;ms:tse:candidatos:1996,consulta_cand_1996_MS.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
28,br;pa:tse:candidatos:1996,consulta_cand_1996_PA.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
29,br;pb:tse:candidatos:1996,consulta_cand_1996_PB.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
30,br;pe:tse:candidatos:1996,consulta_cand_1996_PE.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
31,br;pi:tse:candidatos:1996,consulta_cand_1996_PI.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
32,br;rn:tse:candidatos:1996,consulta_cand_1996_RN.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
33,br;rr:tse:candidatos:1996,consulta_cand_1996_RR.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
34,br;rs:tse:candidatos:1996,consulta_cand_1996_RS.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
35,br;se:tse:candidatos:1996,consulta_cand_1996_SE.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
36,br;sp:tse:candidatos:1996,consulta_cand_1996_SP.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
37,br;to:tse:candidatos:1996,consulta_cand_1996_TO.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
38,br;ac:tse:candidatos:1998,consulta_cand_1998_AC.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
39,br;al:tse:candidatos:1998,consulta_cand_1998_AL.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
40,br;am:tse:candidatos:1998,consulta_cand_1998_AM.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
41,br;ap:tse:candidatos:1998,consulta_cand_1998_AP.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
42,br;ba:tse:candidatos:1998,consulta_cand_1998_BA.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
43,br;br:tse:candidatos:1998,consulta_cand_1998_BR.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
44,br;ce:tse:candidatos:1998,consulta_cand_1998_CE.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
45,br;df:tse:candidatos:1998,consulta_cand_1998_DF.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
46,br;es:tse:candidatos:1998,consulta_cand_1998_ES.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
47,br;go:tse:candidatos:1998,consulta_cand_1998_GO.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
48,br;ma:tse:candidatos:1998,consulta_cand_1998_MA.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
49,br;mg:tse:candidatos:1998,consulta_cand_1998_MG.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
50,br;ms:tse:candidatos:1998,consulta_cand_1998_MS.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
51,br;mt:tse:candidatos:1998,consulta_cand_1998_MT.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
52,br;pa:tse:candidatos:1998,consulta_cand_1998_PA.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
53,br;pb:tse:candidatos:1998,consulta_cand_1998_PB.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
54,br;pe:tse:candidatos:1998,consulta_cand_1998_PE.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
55,br;pi:tse:candidatos:1998,consulta_cand_1998_PI.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
56,br;pr:tse:candidatos:1998,consulta_cand_1998_PR.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
57,br;rj:tse:candidatos:1998,consulta_cand_1998_RJ.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
58,br;rn:tse:candidatos:1998,consulta_cand_1998_RN.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
59,br;ro:tse:candidatos:1998,consulta_cand_1998_RO.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
60,br;rr:tse:candidatos:1998,consulta_cand_1998_RR.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
61,br;rs:tse:candidatos:1998,consulta_cand_1998_RS.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
62,br;sc:tse:candidatos:1998,consulta_cand_1998_SC.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
63,br;se:tse:candidatos:1998,consulta_cand_1998_SE.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
64,br;sp:tse:candidatos:1998,consulta_cand_1998_SP.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
65,br;to:tse:candidatos:1998,consulta_cand_1998_TO.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
66,br;ac:tse:candidatos:2000,consulta_cand_2000_AC.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
67,br;al:tse:candidatos:2000,consulta_cand_2000_AL.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
68,br;am:tse:candidatos:2000,consulta_cand_2000_AM.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
69,br;ap:tse:candidatos:2000,consulta_cand_2000_AP.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
70,br;ba:tse:candidatos:2000,consulta_cand_2000_BA.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
71,br;ce:tse:candidatos:2000,consulta_cand_2000_CE.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
72,br;es:tse:candidatos:2000,consulta_cand_2000_ES.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
73,br;go:tse:candidatos:2000,consulta_cand_2000_GO.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
74,br;ma:tse:candidatos:2000,consulta_cand_2000_MA.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
75,br;mg:tse:candidatos:2000,consulta_cand_2000_MG.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
76,br;ms:tse:candidatos:2000,consulta_cand_2000_MS.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
77,br;mt:tse:candidatos:2000,consulta_cand_2000_MT.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
78,br;pa:tse:candidatos:2000,consulta_cand_2000_PA.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
79,br;pb:tse:candidatos:2000,consulta_cand_2000_PB.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
80,br;pe:tse:candidatos:2000,consulta_cand_2000_PE.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
81,br;pi:tse:candidatos:2000,consulta_cand_2000_PI.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
82,br;pr:tse:candidatos:2000,consulta_cand_2000_PR.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
83,br;rj:tse:candidatos:2000,consulta_cand_2000_RJ.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
84,br;rn:tse:candidatos:2000,consulta_cand_2000_RN.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
85,br;ro:tse:candidatos:2000,consulta_cand_2000_RO.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
86,br;rr:tse:candidatos:2000,consulta_cand_2000_RR.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
87,br;rs:tse:candidatos:2000,consulta_cand_2000_RS.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
88,br;sc:tse:candidatos:2000,consulta_cand_2000_SC.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
89,br;se:tse:candidatos:2000,consulta_cand_2000_SE.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
90,br;sp:tse:candidatos:2000,consulta_cand_2000_SP.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
91,br;to:tse:candidatos:2000,consulta_cand_2000_TO.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
92,br;ac:tse:candidatos:2002,consulta_cand_2002_AC.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
93,br;al:tse:candidatos:2002,consulta_cand_2002_AL.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
94,br;am:tse:candidatos:2002,consulta_cand_2002_AM.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
95,br;ap:tse:candidatos:2002,consulta_cand_2002_AP.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
96,br;ba:tse:candidatos:2002,consulta_cand_2002_BA.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
97,br;br:tse:candidatos:2002,consulta_cand_2002_BR.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
98,br;ce:tse:candidatos:2002,consulta_cand_2002_CE.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
99,br;df:tse:candidatos:2002,consulta_cand_2002_DF.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
100,br;es:tse:candidatos:2002,consulta_cand_2002_ES.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
101,br;go:tse:candidatos:2002,consulta_cand_2002_GO.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
102,br;ma:tse:candidatos:2002,consulta_cand_2002_MA.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
103,br;mg:tse:candidatos:2002,consulta_cand_2002_MG.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
104,br;ms:tse:candidatos:2002,consulta_cand_2002_MS.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
105,br;mt:tse:candidatos:2002,consulta_cand_2002_MT.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
106,br;pa:tse:candidatos:2002,consulta_cand_2002_PA.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
107,br;pb:tse:candidatos:2002,consulta_cand_2002_PB.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
108,br;pe:tse:candidatos:2002,consulta_cand_2002_PE.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
109,br;pi:tse:candidatos:2002,consulta_cand_2002_PI.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
110,br;pr:tse:candidatos:2002,consulta_cand_2002_PR.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
111,br;rj:tse:candidatos:2002,consulta_cand_2002_RJ.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
112,br;rn:tse:candidatos:2002,consulta_cand_2002_RN.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
113,br;ro:tse:candidatos:2002,consulta_cand_2002_RO.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
114,br;rr:tse:candidatos:2002,consulta_cand_2002_RR.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
115,br;rs:tse:candidatos:2002,consulta_cand_2002_RS.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
116,br;sc:tse:candidatos:2002,consulta_cand_2002_SC.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
117,br;se:tse:candidatos:2002,consulta_cand_2002_SE.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
118,br;sp:tse:candidatos:2002,consulta_cand_2002_SP.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
119,br;to:tse:candidatos:2002,consulta_cand_2002_TO.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
120,br;ac:tse:candidatos:2004,consulta_cand_2004_AC.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
121,br;al:tse:candidatos:2004,consulta_cand_2004_AL.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
122,br;am:tse:candidatos:2004,consulta_cand_2004_AM.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
123,br;ap:tse:candidatos:2004,consulta_cand_2004_AP.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
124,br;ba:tse:candidatos:2004,consulta_cand_2004_BA.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
125,br;ce:tse:candidatos:2004,consulta_cand_2004_CE.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
126,br;es:tse:candidatos:2004,consulta_cand_2004_ES.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
127,br;go:tse:candidatos:2004,consulta_cand_2004_GO.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
128,br;ma:tse:candidatos:2004,consulta_cand_2004_MA.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
129,br;mg:tse:candidatos:2004,consulta_cand_2004_MG.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
130,br;ms:tse:candidatos:2004,consulta_cand_2004_MS.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
131,br;mt:tse:candidatos:2004,consulta_cand_2004_MT.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
132,br;pa:tse:candidatos:2004,consulta_cand_2004_PA.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
133,br;pb:tse:candidatos:2004,consulta_cand_2004_PB.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
134,br;pe:tse:candidatos:2004,consulta_cand_2004_PE.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
135,br;pi:tse:candidatos:2004,consulta_cand_2004_PI.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
136,br;pr:tse:candidatos:2004,consulta_cand_2004_PR.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
137,br;rj:tse:candidatos:2004,consulta_cand_2004_RJ.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
138,br;rn:tse:candidatos:2004,consulta_cand_2004_RN.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
139,br;ro:tse:candidatos:2004,consulta_cand_2004_RO.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
140,br;rr:tse:candidatos:2004,consulta_cand_2004_RR.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
141,br;rs:tse:candidatos:2004,consulta_cand_2004_RS.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
142,br;sc:tse:candidatos:2004,consulta_cand_2004_SC.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
143,br;se:tse:candidatos:2004,consulta_cand_2004_SE.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
144,br;sp:tse:candidatos:2004,consulta_cand_2004_SP.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
145,br;to:tse:candidatos:2004,consulta_cand_2004_TO.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
146,br;ac:tse:candidatos:2006,consulta_cand_2006_AC.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
147,br;al:tse:candidatos:2006,consulta_cand_2006_AL.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
148,br;am:tse:candidatos:2006,consulta_cand_2006_AM.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
149,br;ap:tse:candidatos:2006,consulta_cand_2006_AP.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
150,br;ba:tse:candidatos:2006,consulta_cand_2006_BA.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
151,br;br:tse:candidatos:2006,consulta_cand_2006_BR.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
152,br;ce:tse:candidatos:2006,consulta_cand_2006_CE.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
153,br;df:tse:candidatos:2006,consulta_cand_2006_DF.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
154,br;es:tse:candidatos:2006,consulta_cand_2006_ES.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
155,br;go:tse:candidatos:2006,consulta_cand_2006_GO.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
